title,description,image_url,price,category
Smart Watch,Track your fitness and receive notifications,https://m.media-amazon.com/images/I/71NrPRCvFRL.jpg,199.99,Electronics
Bluetooth Speaker,Portable speaker with rich bass,https://m.media-amazon.com/images/I/718yxonHN8L.jpg,79.0,Electronics
Coffee Maker,Programmable drip coffee machine,https://i5.walmartimages.com/asr/0a718bfd-cb64-445d-8f6f-5cdc82a2b0e9.b0a64220bb3c063aaaf3acab92da378d.jpeg,65.5,Home & Kitchen
Air Fryer,Healthy cooking with less oil,https://m.media-amazon.com/images/I/71EHAwiDFNL.jpg,110.0,Home & Kitchen
Robot Vacuum,Automatic floor cleaner with smart mapping,https://i5.walmartimages.com/asr/f81ea4ab-6d86-4256-aae7-af85d5108874.eaaaae68243610702c0f9f14d59d89f9.jpeg?odnHeight=264&odnWidth=264&odnBg=FFFFFF,299.0,Home & Kitchen
Desk Lamp,LED desk lamp with adjustable brightness,https://m.media-amazon.com/images/I/615hrNlXuXL.jpg,35.99,Home & Kitchen
Yoga Mat,Non-slip mat for yoga and pilates,https://i5.walmartimages.com/asr/48242651-a05f-4e27-a09a-ecbbc24f46d9_1.bb25c3becd1e3f78e6c92e7f29a56115.jpeg?odnHeight=768&odnWidth=768&odnBg=FFFFFF,20.0,Fitness & Lifestyle
Water Bottle,Insulated stainless steel bottle,https://m.media-amazon.com/images/I/61JDCfUGp0L.jpg,18.5,Fitness & Lifestyle
Gaming Headset,Immersive audio with noise-cancelling mic,https://i5.walmartimages.com/seo/Ozeino-Wireless-Gaming-Headset-7-1-Surround-Sound-2-4GHz-Wireless-Gaming-Headphones-with-Detachable-Noise-Canceling-Mic-for-PS5-PS4-PC-Laptop_eb98d13c-530f-4d11-b394-50b4b19659e8.af182e5f9d68d9708d662980a83048f6.jpeg?odnHeight=768&odnWidth=768&odnBg=FFFFFF,85.0,Electronics
E-Reader,Lightweight device for digital books,https://i5.walmartimages.com/asr/ac0e9ac4-7727-4e5d-84ff-54e02acd623c_1.ae6812d9982730eb99ce6bba7c32dbf3.jpeg?odnHeight=768&odnWidth=768&odnBg=FFFFFF&odnDynImageQuality=10&format=avif,130.0,Electronics
Portable Monitor,15.6-inch portable display for laptops,https://i5.walmartimages.com/seo/LAEFLAEK-15-6-Portable-Monitor-1080P-IPS-HD-Gaming-Monitor-Portable-Monitor-for-Laptop-PS4-5-Mac-PC-Black_f6b5717f-813d-494c-8594-f4702cceb000.5bc4da75808b2754834f99b614d769d6.jpeg?odnHeight=768&odnWidth=768&odnBg=FFFFFF,220.0,Electronics
Wireless Charger,Fast charging pad for smartphones,https://i5.walmartimages.com/seo/Fast-Wireless-Charger-for-iPhone-15-Pro-Max-Plus-7-5W-and-10W-Charging-Pad-Slim_cf436a10-69dd-4d10-8730-88468ecb7663.f56b7693d378c9338727be01c5568bdd.jpeg,29.99,Electronics
